sample_id,cluster_id
AY0079-C,cluster_10
AY0082-C,cluster_10
AY0006-C,cluster_10
AY0083-C,cluster_10
AY0063-C,cluster_10
AY0011-C,cluster_10
AY0012-C,cluster_10
AY0047-C,cluster_10
AY0010-C,cluster_10
AY0035-C,cluster_10
AY0074-C,cluster_10
AY0056-C,cluster_10
AY0089-C,cluster_10
AY0048-C,cluster_10
AY0053-C,cluster_10
AY0065-C,cluster_10
AY0066-C,cluster_10
AY0024-C,cluster_10
AY0080-C,cluster_10
AY0017-C,cluster_10
AY0043-C,cluster_10
AY0013-C,cluster_10
AY0036-C,cluster_10
AY0058-C,cluster_10
AN0007-C,cluster_1
AN0008-C,cluster_1
AN0009-C,cluster_1
AN0010-C,cluster_1
AN0011-C,cluster_1
AN0012-C,cluster_1
AN0013-C,cluster_1
AN0014-C,cluster_1
AN0015-C,cluster_1
AN0016-C,cluster_1
AN0017-Cx,cluster_1
AN0018-C,cluster_1
AN0019-C,cluster_1
AN0020-C,cluster_1
AN0021-C,cluster_1
AN0022-C,cluster_1
AN0023-C,cluster_1
AN0024-C,cluster_1
AN0025-Cx,cluster_1
AN0026-Cx,cluster_1
AN0027-C,cluster_1
AN0028-C,cluster_1
AN0029-C,cluster_1
AN0030-C,cluster_1
AN0031-C,cluster_1
AN0032-C,cluster_1
AN0033-C,cluster_1
AN0034-C,cluster_1
AN0035-C,cluster_1
AN0036-C,cluster_1
AN0037-C,cluster_1
AN0038-C,cluster_1
AN0039-C,cluster_1
AN0040-C,cluster_1
AN0041-C,cluster_1
AN0042-C,cluster_1
AN0043-C,cluster_1
AN0044-C,cluster_1
AN0045-C,cluster_1
AN0046-C,cluster_1
AN0047-C,cluster_1
AN0048-C,cluster_1
AN0049-C,cluster_1
AN0050-C,cluster_1
AN0051-C,cluster_1
AN0053-C,cluster_1
AN0054-C,cluster_1
AN0055-C,cluster_1
AN0056-C,cluster_1
AN0057-C,cluster_1
AN0058-C,cluster_1
AN0059-C,cluster_1
AN0060-C,cluster_1
AN0061-Cx,cluster_1
AN0062-C,cluster_1
AN0063-Cx,cluster_1
AN0064-C,cluster_1
AN0065-Cx,cluster_1
AN0066-C,cluster_1
AN0067-Cx,cluster_1
AN0068-Cx,cluster_1
AN0069-C,cluster_1
AN0070-C,cluster_1
AN0071-C,cluster_1
AN0072-Cx,cluster_1
AN0073-C,cluster_1
AN0074-C,cluster_1
AN0075-Cx,cluster_1
AN0076-C,cluster_1
AN0077-C,cluster_1
AN0078-C,cluster_1
AN0079-C,cluster_1
AN0080-C,cluster_1
AN0081-C,cluster_1
AN0082-C,cluster_1
AN0083-C,cluster_1
AN0084-C,cluster_1
AN0085-C,cluster_1
AN0086-C,cluster_1
AN0087-C,cluster_1
